text,label,lang,scam_type,source
"Apreciado cliente:
Su paquete no pudo entre-garse el <DATE_TIME> porque no se pagaron <NAMED_ENTITY> (1€).
<NAMED_ENTITY>:",1,mixed,imc25,imc25_smishing
"ATT Free Msg: <DATE_TIME> bill is paid. Thanks, Here's a little gift for you: <URL> Enjoy",1,mixed,imc25,imc25_smishing
Dear Customer your A/ C XXXXXXXXXX2928 Credit INR <US_DRIVER_LICENSE>.00 On <DATE_TIME>. But Not clear saving Charge (This INR is HOLD) Please pay you saving Charge.3199/- only. This charge is refundable. Receive you amount <DATE_TIME> Have a nice day,1,mixed,imc25,imc25_smishing
DPD UK: We had trouble trying to ship your order out to you. You can find out this happened by visiting: <URL>,1,mixed,imc25,imc25_smishing
For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,0,en,sms_spam,uci_sms_spam
Deer user your HDFC bank Account will be blocked! <DATE_TIME> please update your PAN CARD click here <URL> Thank you.,1,mixed,imc25,imc25_smishing
How are you holding up?,0,en,sms_spam,uci_sms_spam
"Hola, <NAMED_ENTITY>, te envié un código de 6 dígitos por SMS por error. ¿Me lo puedes transferir? Es urgente",1,mixed,imc25,imc25_smishing
"For your security, we put a hold to your Membership, see: 1sto...",1,mixed,imc25,imc25_smishing
"<NAMED_ENTITY> hat <NAMED_ENTITY> !! Gehen Sie zu: <URL> und füllen Sie das Formular aus, um <LOCATION> mit bis zu 5.000 zu beginnen!",1,mixed,imc25,imc25_smishing
[Rabobank]: Uw huidige betaalpas vervalt voor gebruik. Vraag nu kostenloos uw vernieuwde betaalpas aan via: <URL>,1,mixed,imc25,imc25_smishing
Dear Consumer your Electricity power has been <URL><DATE_TIME> 9:30pm your <DATE_TIME> bill not update within call <NAMED_ENTITY> <PHONE_NUMBER> thank you.AAHYD,1,mixed,imc25,imc25_smishing
"Moaziz sarif, apka Inaam Ghar ki taraf se 5000 PKR ka inaam nikla hai. Taseeq k liye 0394519600 par call karein.",1,roman_urdu,Phishing - Reward/Lottery Scam,zenodo_21810885
Dear customer Your Electricity power will be close. <DATE_TIME> at 9:30pm form electricity office your <DATE_TIME> <NAMED_ENTITY> not updated please call now <PHONE_NUMBER>,1,mixed,imc25,imc25_smishing
Easypaisa: Aap ne successfully 350 PKR transfer kar diye hain. Trx ID: 62396922.,0,roman_urdu,Mobile Wallet Transfer Confirmation,zenodo_21810885
"Dear Customer, Apke NayaPay acount me 1 Lakh PKR deposit hue han. Available Balance: 1 Lakh PKR.",0,roman_urdu,Bank Deposit Notification,zenodo_21810885
"As a valuable customer , we are offering you double data benefit on all your data recharges till <DATE_TIME>",1,mixed,imc25,imc25_smishing
MediaMarkt 05.05 Anneler Gününe Özel Cep Telefonu <NAMED_ENTITY> ye %30 indirim. <NAMED_ENTITY>. <URL> <US_DRIVER_LICENSE>,1,mixed,imc25,imc25_smishing
DEAR CUSTOMER YOUR VODAFONE S.I.M CARD KYC HAS BEEN SUSPENDED YOUR VODAFONE S.I.M CARD BLOCKEDD WITHIN <DATE_TIME> CALL IMMEDIATELY CUSTOMER CARE <UK_NHS> THANKYOU,1,mixed,imc25,imc25_smishing
<LOCATION> zakazniku u cisla <US_SSN> doslo k omezeni <NAMED_ENTITY> sluzeb. Sluzby budou obnoveny po aktualizaci v https://is gd/cislo_omezeni_603996533 . <NAMED_ENTITY>. <NAMED_ENTITY> Operator,1,mixed,imc25,imc25_smishing
RM0 <NAMED_ENTITY>: Bantuan Khas Kewangan COVID-19 sebanyak <US_DRIVER_LICENSE> telah kredit ke TNG eWallet anda. <NAMED_ENTITY>.,1,mixed,imc25,imc25_smishing
Thankyou for your interest in SBI Credit Card. Please send this SMS(without change) to within <DATE_TIME> as consent for Bureau info,1,mixed,imc25,imc25_smishing
AusPost: Unfortunately we have missed you <DATE_TIME>. Please reschedule via our website: <URL>nageconsignme <URL>,1,mixed,imc25,imc25_smishing
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,0,en,sms_spam,uci_sms_spam
